Price,Time,Timestamp
0.0,2012-09-01-02-00-00,1346457600
0.0,2012-09-02-02-00-00,1346544000
0.0,2012-09-03-02-00-00,1346630400
0.0,2012-09-04-02-00-00,1346716800
0.0,2012-09-05-02-00-00,1346803200
0.0,2012-09-06-02-00-00,1346889600
0.0,2012-09-07-02-00-00,1346976000
0.0,2012-09-08-02-00-00,1347062400
0.0,2012-09-09-02-00-00,1347148800
0.0,2012-09-10-02-00-00,1347235200
0.0,2012-09-11-02-00-00,1347321600
0.0,2012-09-12-02-00-00,1347408000
0.0,2012-09-13-02-00-00,1347494400
0.0,2012-09-14-02-00-00,1347580800
0.0,2012-09-15-02-00-00,1347667200
0.0,2012-09-16-02-00-00,1347753600
0.0,2012-09-17-02-00-00,1347840000
0.0,2012-09-18-02-00-00,1347926400
0.0,2012-09-19-02-00-00,1348012800
0.0,2012-09-20-02-00-00,1348099200
0.0,2012-09-21-02-00-00,1348185600
0.0,2012-09-22-02-00-00,1348272000
0.0,2012-09-23-02-00-00,1348358400
0.0,2012-09-24-02-00-00,1348444800
0.0,2012-09-25-02-00-00,1348531200
0.0,2012-09-26-02-00-00,1348617600
0.0,2012-09-27-02-00-00,1348704000
0.0,2012-09-28-02-00-00,1348790400
0.0,2012-09-29-02-00-00,1348876800
0.0,2012-09-30-02-00-00,1348963200
0.0,2012-10-01-02-00-00,1349049600
0.0,2012-10-02-02-00-00,1349136000
0.0,2012-10-03-02-00-00,1349222400
0.0,2012-10-04-02-00-00,1349308800
0.0,2012-10-05-02-00-00,1349395200
0.0,2012-10-06-02-00-00,1349481600
0.0,2012-10-07-02-00-00,1349568000
0.0,2012-10-08-02-00-00,1349654400
0.0,2012-10-09-02-00-00,1349740800
0.0,2012-10-10-02-00-00,1349827200
0.0,2012-10-11-02-00-00,1349913600
0.0,2012-10-12-02-00-00,1350000000
0.0,2012-10-13-02-00-00,1350086400
0.0,2012-10-14-02-00-00,1350172800
0.0,2012-10-15-02-00-00,1350259200
0.0,2012-10-16-02-00-00,1350345600
0.0,2012-10-17-02-00-00,1350432000
0.0,2012-10-18-02-00-00,1350518400
0.0,2012-10-19-02-00-00,1350604800
0.0,2012-10-20-02-00-00,1350691200
0.0,2012-10-21-02-00-00,1350777600
0.0,2012-10-22-02-00-00,1350864000
0.0,2012-10-23-02-00-00,1350950400
0.0,2012-10-24-02-00-00,1351036800
0.0,2012-10-25-02-00-00,1351123200
0.0,2012-10-26-02-00-00,1351209600
0.0,2012-10-27-02-00-00,1351296000
0.0,2012-10-28-02-00-00,1351382400
0.0,2012-10-29-01-00-00,1351468800
0.0,2012-10-30-01-00-00,1351555200
0.0,2012-10-31-01-00-00,1351641600
0.0,2012-11-01-01-00-00,1351728000
0.0,2012-11-02-01-00-00,1351814400
0.0,2012-11-03-01-00-00,1351900800
0.0,2012-11-04-01-00-00,1351987200
0.0,2012-11-05-01-00-00,1352073600
0.0,2012-11-06-01-00-00,1352160000
0.0,2012-11-07-01-00-00,1352246400
0.0,2012-11-08-01-00-00,1352332800
0.0,2012-11-09-01-00-00,1352419200
0.0,2012-11-10-01-00-00,1352505600
0.0,2012-11-11-01-00-00,1352592000
0.0,2012-11-12-01-00-00,1352678400
0.0,2012-11-13-01-00-00,1352764800
0.0,2012-11-14-01-00-00,1352851200
0.0,2012-11-15-01-00-00,1352937600
0.0,2012-11-16-01-00-00,1353024000
0.0,2012-11-17-01-00-00,1353110400
0.0,2012-11-18-01-00-00,1353196800
0.0,2012-11-19-01-00-00,1353283200
0.0,2012-11-20-01-00-00,1353369600
0.0,2012-11-21-01-00-00,1353456000
0.0,2012-11-22-01-00-00,1353542400
0.0,2012-11-23-01-00-00,1353628800
0.0,2012-11-24-01-00-00,1353715200
0.0,2012-11-25-01-00-00,1353801600
0.0,2012-11-26-01-00-00,1353888000
0.0,2012-11-27-01-00-00,1353974400
0.0,2012-11-28-01-00-00,1354060800
0.0,2012-11-29-01-00-00,1354147200
0.0,2012-11-30-01-00-00,1354233600
0.0,2012-12-01-01-00-00,1354320000
0.0,2012-12-02-01-00-00,1354406400
0.0,2012-12-03-01-00-00,1354492800
0.0,2012-12-04-01-00-00,1354579200
0.0,2012-12-05-01-00-00,1354665600
0.0,2012-12-06-01-00-00,1354752000
0.0,2012-12-07-01-00-00,1354838400
0.0,2012-12-08-01-00-00,1354924800
0.0,2012-12-09-01-00-00,1355011200
0.0,2012-12-10-01-00-00,1355097600
0.0,2012-12-11-01-00-00,1355184000
0.0,2012-12-12-01-00-00,1355270400
0.0,2012-12-13-01-00-00,1355356800
0.0,2012-12-14-01-00-00,1355443200
0.0,2012-12-15-01-00-00,1355529600
0.0,2012-12-16-01-00-00,1355616000
0.0,2012-12-17-01-00-00,1355702400
0.0,2012-12-18-01-00-00,1355788800
0.0,2012-12-19-01-00-00,1355875200
0.0,2012-12-20-01-00-00,1355961600
0.0,2012-12-21-01-00-00,1356048000
0.0,2012-12-22-01-00-00,1356134400
0.0,2012-12-23-01-00-00,1356220800
0.0,2012-12-24-01-00-00,1356307200
0.0,2012-12-25-01-00-00,1356393600
0.0,2012-12-26-01-00-00,1356480000
0.0,2012-12-27-01-00-00,1356566400
0.0,2012-12-28-01-00-00,1356652800
0.0,2012-12-29-01-00-00,1356739200
0.0,2012-12-30-01-00-00,1356825600
0.0,2012-12-31-01-00-00,1356912000
0.0,2013-01-01-01-00-00,1356998400
0.0,2013-01-02-01-00-00,1357084800
