BCH,Time,Timestamp,BTC,DASH,ETH,LTC,XRP
0.0,2012-07-12-02-00-00,1342051200,6.29,0.0,0.0,0.0,0.0
0.0,2012-07-13-02-00-00,1342137600,6.21,0.0,0.0,0.0,0.0
0.0,2012-07-14-02-00-00,1342224000,6.33,0.0,0.0,0.0,0.0
0.0,2012-07-15-02-00-00,1342310400,6.22,0.0,0.0,0.0,0.0
0.0,2012-07-16-02-00-00,1342396800,6.95,0.0,0.0,0.0,0.0
0.0,2012-07-17-02-00-00,1342483200,7.09,0.0,0.0,0.0,0.0
0.0,2012-07-18-02-00-00,1342569600,7.29,0.0,0.0,0.0,0.0
0.0,2012-07-19-02-00-00,1342656000,7.14,0.0,0.0,0.0,0.0
0.0,2012-07-20-02-00-00,1342742400,7.07,0.0,0.0,0.0,0.0
0.0,2012-07-21-02-00-00,1342828800,7.36,0.0,0.0,0.0,0.0
0.0,2012-07-22-02-00-00,1342915200,7.02,0.0,0.0,0.0,0.0
0.0,2012-07-23-02-00-00,1343001600,7.1,0.0,0.0,0.0,0.0
0.0,2012-07-24-02-00-00,1343088000,7.15,0.0,0.0,0.0,0.0
0.0,2012-07-25-02-00-00,1343174400,7.3,0.0,0.0,0.0,0.0
0.0,2012-07-26-02-00-00,1343260800,7.34,0.0,0.0,0.0,0.0
0.0,2012-07-27-02-00-00,1343347200,7.24,0.0,0.0,0.0,0.0
0.0,2012-07-28-02-00-00,1343433600,7.1,0.0,0.0,0.0,0.0
0.0,2012-07-29-02-00-00,1343520000,7.02,0.0,0.0,0.0,0.0
0.0,2012-07-30-02-00-00,1343606400,7.25,0.0,0.0,0.0,0.0
0.0,2012-07-31-02-00-00,1343692800,7.5,0.0,0.0,0.0,0.0
0.0,2012-08-01-02-00-00,1343779200,7.68,0.0,0.0,0.0,0.0
0.0,2012-08-02-02-00-00,1343865600,8.56,0.0,0.0,0.0,0.0
0.0,2012-08-03-02-00-00,1343952000,8.99,0.0,0.0,0.0,0.0
0.0,2012-08-04-02-00-00,1344038400,8.87,0.0,0.0,0.0,0.0
0.0,2012-08-05-02-00-00,1344124800,8.84,0.0,0.0,0.0,0.0
0.0,2012-08-06-02-00-00,1344211200,8.86,0.0,0.0,0.0,0.0
0.0,2012-08-07-02-00-00,1344297600,8.96,0.0,0.0,0.0,0.0
0.0,2012-08-08-02-00-00,1344384000,9.0,0.0,0.0,0.0,0.0
0.0,2012-08-09-02-00-00,1344470400,9.01,0.0,0.0,0.0,0.0
0.0,2012-08-10-02-00-00,1344556800,9.32,0.0,0.0,0.0,0.0
0.0,2012-08-11-02-00-00,1344643200,9.29,0.0,0.0,0.0,0.0
0.0,2012-08-12-02-00-00,1344729600,9.25,0.0,0.0,0.0,0.0
0.0,2012-08-13-02-00-00,1344816000,9.65,0.0,0.0,0.0,0.0
0.0,2012-08-14-02-00-00,1344902400,9.9,0.0,0.0,0.0,0.0
0.0,2012-08-15-02-00-00,1344988800,10.72,0.0,0.0,0.0,0.0
0.0,2012-08-16-02-00-00,1345075200,10.99,0.0,0.0,0.0,0.0
0.0,2012-08-17-02-00-00,1345161600,9.54,0.0,0.0,0.0,0.0
0.0,2012-08-18-02-00-00,1345248000,9.42,0.0,0.0,0.0,0.0
0.0,2012-08-19-02-00-00,1345334400,6.3,0.0,0.0,0.0,0.0
0.0,2012-08-20-02-00-00,1345420800,8.08,0.0,0.0,0.0,0.0
0.0,2012-08-21-02-00-00,1345507200,8.15,0.0,0.0,0.0,0.0
0.0,2012-08-22-02-00-00,1345593600,7.91,0.0,0.0,0.0,0.0
0.0,2012-08-23-02-00-00,1345680000,8.32,0.0,0.0,0.0,0.0
0.0,2012-08-24-02-00-00,1345766400,8.45,0.0,0.0,0.0,0.0
0.0,2012-08-25-02-00-00,1345852800,8.44,0.0,0.0,0.0,0.0
0.0,2012-08-26-02-00-00,1345939200,8.68,0.0,0.0,0.0,0.0
0.0,2012-08-27-02-00-00,1346025600,8.95,0.0,0.0,0.0,0.0
0.0,2012-08-28-02-00-00,1346112000,8.69,0.0,0.0,0.0,0.0
0.0,2012-08-29-02-00-00,1346198400,8.64,0.0,0.0,0.0,0.0
0.0,2012-08-30-02-00-00,1346284800,8.54,0.0,0.0,0.0,0.0
0.0,2012-08-31-02-00-00,1346371200,8.07,0.0,0.0,0.0,0.0
0.0,2012-09-01-02-00-00,1346457600,8.1,0.0,0.0,0.0,0.0
0.0,2012-09-02-02-00-00,1346544000,8.18,0.0,0.0,0.0,0.0
0.0,2012-09-03-02-00-00,1346630400,8.4,0.0,0.0,0.0,0.0
0.0,2012-09-04-02-00-00,1346716800,8.36,0.0,0.0,0.0,0.0
0.0,2012-09-05-02-00-00,1346803200,8.7,0.0,0.0,0.0,0.0
0.0,2012-09-06-02-00-00,1346889600,8.82,0.0,0.0,0.0,0.0
0.0,2012-09-07-02-00-00,1346976000,8.6,0.0,0.0,0.0,0.0
0.0,2012-09-08-02-00-00,1347062400,8.73,0.0,0.0,0.0,0.0
0.0,2012-09-09-02-00-00,1347148800,8.64,0.0,0.0,0.0,0.0
0.0,2012-09-10-02-00-00,1347235200,8.64,0.0,0.0,0.0,0.0
0.0,2012-09-11-02-00-00,1347321600,8.71,0.0,0.0,0.0,0.0
0.0,2012-09-12-02-00-00,1347408000,8.73,0.0,0.0,0.0,0.0
0.0,2012-09-13-02-00-00,1347494400,8.8,0.0,0.0,0.0,0.0
0.0,2012-09-14-02-00-00,1347580800,9.0,0.0,0.0,0.0,0.0
0.0,2012-09-15-02-00-00,1347667200,8.95,0.0,0.0,0.0,0.0
0.0,2012-09-16-02-00-00,1347753600,8.98,0.0,0.0,0.0,0.0
0.0,2012-09-17-02-00-00,1347840000,8.97,0.0,0.0,0.0,0.0
0.0,2012-09-18-02-00-00,1347926400,9.41,0.0,0.0,0.0,0.0
0.0,2012-09-19-02-00-00,1348012800,9.46,0.0,0.0,0.0,0.0
0.0,2012-09-20-02-00-00,1348099200,9.45,0.0,0.0,0.0,0.0
0.0,2012-09-21-02-00-00,1348185600,9.57,0.0,0.0,0.0,0.0
0.0,2012-09-22-02-00-00,1348272000,9.4,0.0,0.0,0.0,0.0
0.0,2012-09-23-02-00-00,1348358400,9.37,0.0,0.0,0.0,0.0
0.0,2012-09-24-02-00-00,1348444800,9.21,0.0,0.0,0.0,0.0
0.0,2012-09-25-02-00-00,1348531200,9.31,0.0,0.0,0.0,0.0
0.0,2012-09-26-02-00-00,1348617600,9.5,0.0,0.0,0.0,0.0
0.0,2012-09-27-02-00-00,1348704000,9.65,0.0,0.0,0.0,0.0
0.0,2012-09-28-02-00-00,1348790400,9.58,0.0,0.0,0.0,0.0
0.0,2012-09-29-02-00-00,1348876800,9.61,0.0,0.0,0.0,0.0
0.0,2012-09-30-02-00-00,1348963200,9.63,0.0,0.0,0.0,0.0
0.0,2012-10-01-02-00-00,1349049600,9.55,0.0,0.0,0.0,0.0
0.0,2012-10-02-02-00-00,1349136000,9.73,0.0,0.0,0.0,0.0
0.0,2012-10-03-02-00-00,1349222400,9.86,0.0,0.0,0.0,0.0
0.0,2012-10-04-02-00-00,1349308800,9.8,0.0,0.0,0.0,0.0
0.0,2012-10-05-02-00-00,1349395200,9.75,0.0,0.0,0.0,0.0
0.0,2012-10-06-02-00-00,1349481600,9.73,0.0,0.0,0.0,0.0
0.0,2012-10-07-02-00-00,1349568000,9.21,0.0,0.0,0.0,0.0
0.0,2012-10-08-02-00-00,1349654400,9.04,0.0,0.0,0.0,0.0
0.0,2012-10-09-02-00-00,1349740800,9.2,0.0,0.0,0.0,0.0
0.0,2012-10-10-02-00-00,1349827200,9.4,0.0,0.0,0.0,0.0
0.0,2012-10-11-02-00-00,1349913600,9.32,0.0,0.0,0.0,0.0
0.0,2012-10-12-02-00-00,1350000000,9.22,0.0,0.0,0.0,0.0
0.0,2012-10-13-02-00-00,1350086400,9.15,0.0,0.0,0.0,0.0
0.0,2012-10-14-02-00-00,1350172800,9.18,0.0,0.0,0.0,0.0
0.0,2012-10-15-02-00-00,1350259200,9.16,0.0,0.0,0.0,0.0
0.0,2012-10-16-02-00-00,1350345600,9.1,0.0,0.0,0.0,0.0
0.0,2012-10-17-02-00-00,1350432000,9.1,0.0,0.0,0.0,0.0
0.0,2012-10-18-02-00-00,1350518400,9.09,0.0,0.0,0.0,0.0
0.0,2012-10-19-02-00-00,1350604800,9.0,0.0,0.0,0.0,0.0
0.0,2012-10-20-02-00-00,1350691200,9.09,0.0,0.0,0.0,0.0
0.0,2012-10-21-02-00-00,1350777600,8.95,0.0,0.0,0.0,0.0
0.0,2012-10-22-02-00-00,1350864000,8.94,0.0,0.0,0.0,0.0
0.0,2012-10-23-02-00-00,1350950400,8.93,0.0,0.0,0.0,0.0
0.0,2012-10-24-02-00-00,1351036800,8.97,0.0,0.0,0.0,0.0
